pro,city,code,pro_code,city_code,city,lat,lon,纬度,经度,最近距离千米,最近港口,
广东省,广州市,193,44,440100,广州市,23.1252,113.281,23.1252,113.281,17.820013,广州港,
广东省,韶关市,194,44,440200,韶关市,24.8013,113.592,24.8013,113.592,190.35202,广州港,
广东省,佛山市,198,44,440600,佛山市,23.0288,113.123,23.0288,113.123,34.431849,广州港,
广东省,肇庆市,202,44,441200,肇庆市,23.0515,112.473,23.0515,112.473,100.25943,广州港,
广东省,清远市,208,44,441800,清远市,23.7042,113.037,23.7042,113.037,79.960696,广州港,
广西壮族自治区,桂林市,216,45,450300,桂林市,25.2742,110.299,25.2742,110.299,401.27467,广州港,
广西壮族自治区,贺州市,224,45,451100,贺州市,24.4141,111.552,24.4141,111.552,242.75004,广州港,
贵州省,铜仁市,257,52,520600,铜仁市,27.7183,109.192,27.7183,109.192,668.78254,广州港,
广东省,深圳市,195,44,440300,深圳市,22.547,114.086,22.547,114.086,18.708062,深圳港,
江西省,赣州市,127,36,360700,赣州市,25.851,114.94,25.851,114.94,331.81102,汕头港,
广东省,汕头市,197,44,440500,汕头市,23.371,116.708,23.371,116.708,3.5040758,汕头港,
广东省,梅州市,204,44,441400,梅州市,24.2991,116.118,24.2991,116.118,122.5238,汕头港,
广东省,潮州市,211,44,445100,潮州市,23.6617,116.632,23.6617,116.632,35.877784,汕头港,
广东省,揭阳市,212,44,445200,揭阳市,23.5438,116.356,23.5438,116.356,44.214648,汕头港,
广东省,惠州市,203,44,441300,惠州市,23.0794,114.413,23.0794,114.413,45.280161,惠州港,
广东省,汕尾市,205,44,441500,汕尾市,22.7745,115.364,22.7745,115.364,82.392768,惠州港,
广东省,河源市,206,44,441600,河源市,23.7463,114.698,23.7463,114.698,117.46346,惠州港,
广东省,东莞市,209,44,441900,东莞市,23.0489,113.76,23.0489,113.76,27.367946,虎门港,
